NOME;Attenzione Focalizzata;Usabilità Percepita;Attrattiva estetica;RW;Colonna1
1V;3,666666667;2,333333333;2,666666667;3,666666667;3,083333333
2V;2,666666667;4;2,666666667;3,333333333;3,166666667
3V;2,666666667;3,666666667;3;3;3,083333333
4V;3,333333333;3,666666667;4;3,666666667;3,666666667
5V;2,666666667;3,666666667;2,666666667;3;3
6V;3;2,666666667;4;3,666666667;3,333333333
1T;1,666666667;1,666666667;1,666666667;2;1,75
2T;3,333333333;4;3,666666667;3,666666667;3,666666667
3T;2,666666667;3,666666667;2,333333333;3,333333333;3
4T;1,333333333;2,666666667;1,333333333;2;1,833333333
5T;2;4;2,333333333;3;2,833333333
6T;3;4;3,333333333;3,333333333;3,416666667
